record_id,product,warehouse,date,current_stock_level,normal_stock_level,reorder_point,daily_demand,days_of_supply,stock_status,disruption_type
INV-0001,Canned Soup,WH-Atlanta,2026-05-11,63,801,240,90,0.7,LOW,demand_spike
INV-0002,Shampoo,WH-Newark,2026-04-24,1372,1669,500,30,45.7,NORMAL,none
INV-0003,Snack Bars,WH-Newark,2026-04-29,128,1981,594,135,0.9,LOW,demand_spike
INV-0004,Laundry Detergent,WH-Chicago,2026-04-17,681,1031,309,52,13.1,NORMAL,none
INV-0005,Baby Formula,WH-Chicago,2026-04-19,1373,1588,476,22,62.4,NORMAL,none
INV-0006,Baby Formula,WH-Chicago,2026-04-22,655,950,285,44,14.9,NORMAL,none
INV-0007,Bottled Water,WH-Chicago,2026-05-04,97,1121,336,136,0.7,LOW,demand_spike
INV-0008,Sports Drink,WH-Atlanta,2026-04-19,625,1015,304,37,16.9,NORMAL,none
INV-0009,Frozen Pizza,WH-Chicago,2026-04-15,896,1222,366,44,20.4,NORMAL,none
INV-0010,Pet Food,WH-Chicago,2026-04-23,1405,1641,492,33,42.6,NORMAL,none
INV-0011,Bottled Water,WH-Newark,2026-05-07,565,1205,361,27,20.9,NORMAL,none
INV-0012,Baby Formula,WH-Chicago,2026-04-29,61,1660,498,183,0.3,LOW,demand_spike
INV-0013,Shampoo,WH-Newark,2026-05-07,88,1310,393,188,0.5,LOW,demand_spike
INV-0014,Baby Formula,WH-Dallas,2026-05-10,259,659,197,32,8.1,NORMAL,none
INV-0015,Baby Formula,WH-Dallas,2026-05-10,848,939,281,56,15.1,NORMAL,none
INV-0016,Shampoo,WH-LA,2026-05-10,452,465,139,25,18.1,NORMAL,none
INV-0017,Sports Drink,WH-Newark,2026-04-27,1481,1672,501,53,27.9,NORMAL,none
INV-0018,Canned Soup,WH-LA,2026-05-11,298,456,136,24,12.4,NORMAL,none
INV-0019,Snack Bars,WH-LA,2026-05-06,420,462,138,60,7.0,NORMAL,none
INV-0020,Bottled Water,WH-Dallas,2026-05-09,839,1086,325,23,36.5,NORMAL,none
INV-0021,Sports Drink,WH-Atlanta,2026-04-19,324,531,159,34,9.5,NORMAL,none
INV-0022,Shampoo,WH-Atlanta,2026-05-13,172,361,108,32,5.4,NORMAL,none
INV-0023,Pet Food,WH-Newark,2026-04-19,983,1458,437,25,39.3,NORMAL,none
INV-0024,Pet Food,WH-Dallas,2026-05-03,241,515,154,59,4.1,NORMAL,none
INV-0025,Bottled Water,WH-Newark,2026-05-11,92,284,85,25,3.7,NORMAL,none
INV-0026,Organic Cereal,WH-Atlanta,2026-04-23,1702,1770,531,46,37.0,NORMAL,none
INV-0027,Bottled Water,WH-Chicago,2026-04-30,691,1317,395,39,17.7,NORMAL,none
INV-0028,Snack Bars,WH-Dallas,2026-05-10,613,1031,309,49,12.5,NORMAL,none
INV-0029,Sports Drink,WH-Chicago,2026-04-20,832,1191,357,33,25.2,NORMAL,none
INV-0030,Shampoo,WH-Atlanta,2026-04-19,1154,1671,501,42,27.5,NORMAL,none
INV-0031,Canned Soup,WH-Dallas,2026-05-09,513,1350,405,40,12.8,NORMAL,none
INV-0032,Frozen Pizza,WH-LA,2026-04-18,284,707,212,26,10.9,NORMAL,none
INV-0033,Organic Cereal,WH-Newark,2026-05-15,866,1460,438,35,24.7,NORMAL,none
INV-0034,Baby Formula,WH-Newark,2026-05-14,446,840,252,30,14.9,NORMAL,none
INV-0035,Snack Bars,WH-Atlanta,2026-04-29,758,831,249,21,36.1,NORMAL,none
INV-0036,Sports Drink,WH-LA,2026-05-01,317,693,207,57,5.6,NORMAL,none
INV-0037,Shampoo,WH-Chicago,2026-04-16,1329,1423,426,50,26.6,NORMAL,none
INV-0038,Laundry Detergent,WH-Atlanta,2026-04-15,461,1082,324,36,12.8,NORMAL,none
INV-0039,Shampoo,WH-LA,2026-04-26,28,304,91,65,0.4,CRITICAL,raw_material_shortage
INV-0040,Laundry Detergent,WH-Chicago,2026-04-27,1655,1765,529,37,44.7,NORMAL,none
INV-0041,Bottled Water,WH-Atlanta,2026-04-18,97,398,119,181,0.5,LOW,demand_spike
INV-0042,Shampoo,WH-Atlanta,2026-05-15,249,495,148,58,4.3,NORMAL,none
INV-0043,Pet Food,WH-LA,2026-05-01,26,279,83,60,0.4,CRITICAL,raw_material_shortage
INV-0044,Pet Food,WH-LA,2026-04-19,519,1255,376,40,13.0,NORMAL,none
INV-0045,Bottled Water,WH-Newark,2026-04-20,1050,1462,438,57,18.4,NORMAL,none
INV-0046,Shampoo,WH-Atlanta,2026-05-11,1085,1203,360,56,19.4,NORMAL,none
INV-0047,Laundry Detergent,WH-LA,2026-05-11,31,878,263,67,0.5,CRITICAL,raw_material_shortage
INV-0048,Laundry Detergent,WH-Chicago,2026-05-04,928,1542,462,23,40.3,NORMAL,none
INV-0049,Bottled Water,WH-LA,2026-04-20,1280,1676,502,29,44.1,NORMAL,none
INV-0050,Frozen Pizza,WH-Chicago,2026-05-03,224,425,127,21,10.7,NORMAL,none
INV-0051,Snack Bars,WH-Newark,2026-04-28,31,1614,484,62,0.5,CRITICAL,raw_material_shortage
INV-0052,Bottled Water,WH-LA,2026-05-12,633,1689,506,28,22.6,NORMAL,none
INV-0053,Pet Food,WH-Dallas,2026-05-02,1445,1556,466,53,27.3,NORMAL,none
INV-0054,Canned Soup,WH-Newark,2026-05-15,119,1291,387,125,1.0,LOW,demand_spike
