shipment_id,product,supplier_id,supplier_name,origin_region,destination_warehouse,ship_date,expected_delivery_days,actual_delivery_days,delay_days,quantity,status,disruption_type
SHP-0001,Sports Drink,SUP-001,AgriSource Inc.,Midwest US,WH-Newark,2026-04-22,5,9,4,4937,REROUTED,transport_delay
SHP-0002,Canned Soup,SUP-001,AgriSource Inc.,Midwest US,WH-Chicago,2026-04-17,5,6,1,1728,IN_TRANSIT,none
SHP-0003,Pet Food,SUP-004,FreshHarvest Co.,South America,WH-Dallas,2026-04-29,6,5,0,1407,DELIVERED,none
SHP-0004,Canned Soup,SUP-003,ChemBlend Corp.,Western Europe,WH-Newark,2026-04-19,5,5,0,3212,DELIVERED,none
SHP-0005,Sports Drink,SUP-003,ChemBlend Corp.,Western Europe,WH-Newark,2026-05-04,6,7,1,1122,DELIVERED,none
SHP-0006,Canned Soup,SUP-001,AgriSource Inc.,Midwest US,WH-Atlanta,2026-04-24,7,8,1,1966,IN_TRANSIT,none
SHP-0007,Laundry Detergent,SUP-001,AgriSource Inc.,Midwest US,WH-Dallas,2026-05-12,3,3,0,3088,DELIVERED,none
SHP-0008,Baby Formula,SUP-003,ChemBlend Corp.,Western Europe,WH-Newark,2026-04-21,6,7,1,1501,DELIVERED,none
SHP-0009,Pet Food,SUP-002,PackRight Ltd.,Southeast Asia,WH-Dallas,2026-04-29,8,9,1,1899,DELIVERED,none
SHP-0010,Shampoo,SUP-001,AgriSource Inc.,Midwest US,WH-Dallas,2026-05-11,2,2,0,1828,DELIVERED,none
SHP-0011,Bottled Water,SUP-003,ChemBlend Corp.,Western Europe,WH-Dallas,2026-05-05,9,10,1,2269,DELIVERED,none
SHP-0012,Baby Formula,SUP-002,PackRight Ltd.,Southeast Asia,WH-Atlanta,2026-05-02,6,6,0,3371,DELIVERED,none
SHP-0013,Shampoo,SUP-002,PackRight Ltd.,Southeast Asia,WH-Dallas,2026-05-01,9,12,3,1410,DELAYED,transport_delay
SHP-0014,Canned Soup,SUP-005,MetalWorks Global,East Asia,WH-Chicago,2026-04-27,8,8,0,4632,DELIVERED,none
SHP-0015,Organic Cereal,SUP-001,AgriSource Inc.,Midwest US,WH-Atlanta,2026-05-09,6,6,0,3661,DELIVERED,none
SHP-0016,Baby Formula,SUP-004,FreshHarvest Co.,South America,WH-Chicago,2026-05-15,6,5,0,971,DELIVERED,none
SHP-0017,Laundry Detergent,SUP-005,MetalWorks Global,East Asia,WH-Atlanta,2026-04-21,4,3,0,4444,DELIVERED,none
SHP-0018,Organic Cereal,SUP-005,MetalWorks Global,East Asia,WH-Newark,2026-04-30,2,10,8,574,STUCK_IN_TRANSIT,transport_delay
SHP-0019,Frozen Pizza,SUP-005,MetalWorks Global,East Asia,WH-Chicago,2026-04-17,9,10,1,1151,DELIVERED,none
SHP-0020,Snack Bars,SUP-005,MetalWorks Global,East Asia,WH-Dallas,2026-04-23,10,10,0,4517,DELIVERED,none
SHP-0021,Frozen Pizza,SUP-003,ChemBlend Corp.,Western Europe,WH-LA,2026-05-06,7,8,1,2130,DELIVERED,none
SHP-0022,Frozen Pizza,SUP-001,AgriSource Inc.,Midwest US,WH-Newark,2026-04-15,10,9,0,582,IN_TRANSIT,none
SHP-0023,Frozen Pizza,SUP-001,AgriSource Inc.,Midwest US,WH-Chicago,2026-05-12,7,13,6,1855,STUCK_IN_TRANSIT,port_congestion
SHP-0024,Pet Food,SUP-002,PackRight Ltd.,Southeast Asia,WH-Atlanta,2026-05-03,9,9,0,1659,DELIVERED,none
SHP-0025,Sports Drink,SUP-001,AgriSource Inc.,Midwest US,WH-LA,2026-04-26,8,9,1,906,IN_TRANSIT,none
SHP-0026,Organic Cereal,SUP-004,FreshHarvest Co.,South America,WH-Newark,2026-05-10,3,2,0,1248,DELIVERED,none
SHP-0027,Canned Soup,SUP-002,PackRight Ltd.,Southeast Asia,WH-Newark,2026-04-29,5,4,0,4608,DELIVERED,none
SHP-0028,Sports Drink,SUP-001,AgriSource Inc.,Midwest US,WH-Atlanta,2026-05-11,2,1,0,4078,DELIVERED,none
SHP-0029,Snack Bars,SUP-002,PackRight Ltd.,Southeast Asia,WH-LA,2026-05-13,2,1,0,2272,DELIVERED,none
SHP-0030,Snack Bars,SUP-003,ChemBlend Corp.,Western Europe,WH-LA,2026-05-07,10,10,0,2530,DELIVERED,none
SHP-0031,Frozen Pizza,SUP-001,AgriSource Inc.,Midwest US,WH-Atlanta,2026-05-08,10,18,8,4885,DELAYED,transport_delay
SHP-0032,Snack Bars,SUP-005,MetalWorks Global,East Asia,WH-Atlanta,2026-04-20,2,1,0,661,DELIVERED,none
SHP-0033,Bottled Water,SUP-001,AgriSource Inc.,Midwest US,WH-Dallas,2026-04-27,3,4,1,4970,DELIVERED,none
SHP-0034,Organic Cereal,SUP-005,MetalWorks Global,East Asia,WH-Chicago,2026-04-28,10,10,0,2673,DELIVERED,none
SHP-0035,Frozen Pizza,SUP-003,ChemBlend Corp.,Western Europe,WH-LA,2026-04-19,6,5,0,4712,IN_TRANSIT,none
SHP-0036,Sports Drink,SUP-001,AgriSource Inc.,Midwest US,WH-Atlanta,2026-04-21,10,10,0,2101,DELIVERED,none
SHP-0037,Shampoo,SUP-003,ChemBlend Corp.,Western Europe,WH-Dallas,2026-04-29,10,11,1,4433,DELIVERED,none
SHP-0038,Organic Cereal,SUP-005,MetalWorks Global,East Asia,WH-Newark,2026-05-14,3,2,0,976,DELIVERED,none
SHP-0039,Pet Food,SUP-002,PackRight Ltd.,Southeast Asia,WH-Newark,2026-04-24,5,4,0,2262,DELIVERED,none
SHP-0040,Pet Food,SUP-004,FreshHarvest Co.,South America,WH-Newark,2026-05-13,2,11,9,129,STUCK_IN_TRANSIT,transport_delay
SHP-0041,Shampoo,SUP-002,PackRight Ltd.,Southeast Asia,WH-Newark,2026-04-20,9,9,0,1016,DELIVERED,none
SHP-0042,Sports Drink,SUP-002,PackRight Ltd.,Southeast Asia,WH-Atlanta,2026-04-16,7,6,0,442,DELIVERED,none
SHP-0043,Laundry Detergent,SUP-003,ChemBlend Corp.,Western Europe,WH-Chicago,2026-05-13,7,6,0,2997,DELIVERED,none
SHP-0044,Pet Food,SUP-004,FreshHarvest Co.,South America,WH-Atlanta,2026-05-08,4,3,0,1550,DELIVERED,none
SHP-0045,Canned Soup,SUP-001,AgriSource Inc.,Midwest US,WH-Dallas,2026-05-08,7,7,0,2132,DELIVERED,none
SHP-0046,Laundry Detergent,SUP-002,PackRight Ltd.,Southeast Asia,WH-Chicago,2026-04-27,2,1,0,3870,DELIVERED,none
SHP-0047,Shampoo,SUP-003,ChemBlend Corp.,Western Europe,WH-Dallas,2026-04-22,2,2,0,668,DELIVERED,none
SHP-0048,Laundry Detergent,SUP-003,ChemBlend Corp.,Western Europe,WH-Atlanta,2026-04-27,10,9,0,2239,DELIVERED,none
SHP-0049,Baby Formula,SUP-005,MetalWorks Global,East Asia,WH-Newark,2026-04-16,3,3,0,2669,DELIVERED,none
SHP-0050,Canned Soup,SUP-005,MetalWorks Global,East Asia,WH-Atlanta,2026-04-18,8,7,0,3672,DELIVERED,none
SHP-0051,Organic Cereal,SUP-005,MetalWorks Global,East Asia,WH-Atlanta,2026-05-06,5,4,0,2804,DELIVERED,none
