report_id,supplier_id,supplier_name,region,date,on_time_delivery_rate,quality_score,defect_rate,orders_fulfilled,orders_delayed,baseline_reliability,disruption_type
SPR-0001,SUP-002,PackRight Ltd.,Southeast Asia,2026-04-25,0.96,0.91,0.005,82,1,0.85,none
SPR-0002,SUP-005,MetalWorks Global,East Asia,2026-05-02,0.95,0.85,0.029,100,1,0.88,none
SPR-0003,SUP-004,FreshHarvest Co.,South America,2026-05-10,0.93,0.96,0.032,62,3,0.78,none
SPR-0004,SUP-002,PackRight Ltd.,Southeast Asia,2026-05-05,0.85,0.87,0.018,58,0,0.85,none
SPR-0005,SUP-004,FreshHarvest Co.,South America,2026-05-04,0.88,0.92,0.037,98,3,0.78,none
SPR-0006,SUP-005,MetalWorks Global,East Asia,2026-04-16,0.87,0.98,0.022,91,0,0.88,none
SPR-0007,SUP-001,AgriSource Inc.,Midwest US,2026-05-09,0.93,0.87,0.025,82,3,0.92,none
SPR-0008,SUP-003,ChemBlend Corp.,Western Europe,2026-05-15,0.82,0.86,0.01,76,1,0.95,none
SPR-0009,SUP-004,FreshHarvest Co.,South America,2026-04-26,0.95,0.93,0.021,54,0,0.78,none
SPR-0010,SUP-004,FreshHarvest Co.,South America,2026-04-18,0.97,0.86,0.033,28,2,0.78,none
SPR-0011,SUP-003,ChemBlend Corp.,Western Europe,2026-04-25,0.84,0.92,0.02,66,3,0.95,none
SPR-0012,SUP-003,ChemBlend Corp.,Western Europe,2026-04-17,0.95,0.87,0.034,92,0,0.95,none
SPR-0013,SUP-002,PackRight Ltd.,Southeast Asia,2026-05-14,0.85,0.87,0.007,81,3,0.85,none
SPR-0014,SUP-004,FreshHarvest Co.,South America,2026-04-22,0.92,0.88,0.027,60,0,0.78,none
SPR-0015,SUP-005,MetalWorks Global,East Asia,2026-05-13,0.91,0.9,0.028,36,2,0.88,none
SPR-0016,SUP-001,AgriSource Inc.,Midwest US,2026-05-03,0.61,0.55,0.089,24,8,0.92,quality_defect
SPR-0017,SUP-004,FreshHarvest Co.,South America,2026-05-01,0.86,0.9,0.016,24,2,0.78,none
